stop_id	stop_name
50604	Birmingham Dr near Craft Pl
14151	Smiths City (Southbound)
15480	Pages Rd near Shortland St
38121	Dunbars Rd near Lancewood Dr
26136	Rocking Horse Rd near Whimbrels Wy
42622	Duncan St near Campbell 
43954	Marshland Rd near Cotton St
55067	Apsley Drive
30642	Nayland St near Hardwicke 
28797	Bealey Ave near Madras St
47074	Pages Rd near Portchester St
50615	Birmingham Dr near Craft Pl
15008	Kaiapoi (McDonalds)
18521	Marshland Rd near Voss St
17670	Memorial Ave near Kendal 
15012	Williams St near Davie 
16343	Carlton Mill Rd near Exeter St
38113	Dunbars Rd near Balkwell St
40436	Blenheim Rd near Hansons Ln
43949	Marshland Rd near Hercules St
42614	Main North Rd near Barnes 
2854	The Hub Hornby
28323	Birchs Rd near Robinsons 
26143	Estuary Rd near Jellicoe St
32817	Wilsons Rd near Timbertop Ln
30635	Marriner St near Richmond Hill Wlk
52802	Brookside Rd near Stonebrook Dr
38580	Merivale Mall
13283	The Palms (Marshland Rd- vet side)
18972	New Brighton (Beresford St)
50627	Annex Rd near Nazareth Ave
19820	Veitches Rd near Grampian St
17643	Memorial Ave near Burnside Park
14133	Manurere St near Wycola Ave
30619	Main Rd near Marriner St
42605	Van Asch St near Denman 
55080	South Belt near Buckleys Rd
43931	Marshland Rd near Mcsaveneys 
40427	Memorial Ave near Grahams Rd
26590	Buckleys Rd near Rudds 
30626	Nayland St near Menzies 
39438	Travis Road near Bower Ave
32801	Waltham Rd near Austin St
38109	Halswell Rd near Dunbars 
50636	Annex Rd near Birmingham Dr
52818	Brookside Rd near East Maddisons 
36392	St Andrews Hill Rd near Marama Cres
19831	Claridges Rd near Opal Pl
13296	Lake Terrace Rd near Giles Pl
28306	Dunbars Rd near Hindess St
43920	Bush St near Strachan Pl
40415	Halswell Rd near Rowley Ave
20818	Queenspark Dr near Bower Ave
28784	Fitzgerald Ave near Alexandra St
46198	Rolleston Dr near Renoir 
15479	Pages Rd near Breezes 
14146	Manurere St near Ranui 
38579	Springfield Rd near St Albans 
50643	Annex Rd near Railway
52825	East Maddisons Rd near Lowes 
17658	Aylesbury Rd near Queens Dr
13265	North Pde near Averill St
40882	Eastgate Mall (Buckleys Rd)
36385	St Andrews Hill Rd near The Brae
41733	Rangiora Woodend Rd near Chinnerys 
43912	Marshland Rd near Mcsaveneys 
43908	The Palms (Shirley Rd)
24397	Gerald St near Murray Pl
26574	Oram Ave near Rodney St
14599	Hei Rd near Buchanans 
30603	Moorhouse Ave near Manchester St
38567	Springfield Rd near St Albans 
51502	Corsair Dr near Grebe Pl
14114	Hagley Ave near High Sch
18955	Tuam St near England 
50658	Annex Rd near Railway
36371	Major Hornbrook Rd near Billys Trk
52839	Rolleston Terminus
14122	Gilberthorpes Rd near Prichard Cres
38551	St Albans near Donald Pl
20802	Queenspark Dr near Donnington St
50662	Hansons Ln near Arthur St
13277	North Parade
52841	Brookside Rd near East Maddisons 
16786	Sawyers Arms Rd near Cotswold Ave
17636	Veitches Rd near Grampian St
20576	Bower Ave near Saltaire St
18257	Marine Pde near Bowhill Rd
23606	Colombo St near Thorrington Rd
40188	Bower Ave near Pinewood 
43210	Northwood Blvd near Mounter Ave
16078	Rossall St near Glandovey Rd
41039	Opawa Rd near Mary McLean Pl
24931	Carmen Rd near Waterloo 
39192	New Brighton (Oram Ave)
28055	Blenheim Rd near Curletts 
11626	Gamblins Rd near Ngaio St
33896	Halswell Rd near O'halloran Dr
36929	Aldwins Rd near Matlock St
29389	Cranford St near Malvern 
10775	Guildford St near Heath 
33416	Cashmere Rd near Kaiwara St
39185	Keyes Rd
40174	Kaiapoi (Police Station)
44532	Oxford Rd near Fairview Briars
24949	Carmen Rd
20582	Bower Ave near Dick Taylor Dr
16084	Strowan Rd near Lloyd St
42358	Bridle Path Rd near Port Hills 
28064	Blenheim Rd near Curletts 
33400	Penruddock Rse near Sedgwick Wy
36917	Aldwins Rd near Bass St
10308	Maidstone Rd near Colina St
32552	Brougham St near Albemarle 
33883	Halswell Rd near Village Lane
10781	Guildford St near Heath 
12960	Papanui Rd near Hawthorne St
13811	Main North Rd near Williams St
21886	Aston Dr near Orlando Cres
42343	Head St near Dryden 
44521	Kingsbury Ave near Windsor Ct
18235	Marine Pde near Hawke St
40161	Wainoni Rd near Breezes 
17380	Veitches Rd near Cavendish 
41018	Brittan Tce near Simeon Qy
39171	Keyes Rd near Sinclair St
16050	Rossall St near Office Rd
11603	Centaurus Rd near Torvill & Dean Ln
29362	Cranford St near Berwick 
12939	Lincoln Rd near Torrens 
10752	Whitby St near Everest 
33877	Halswell Rd near Glovers 
36901	Aldwins Rd near Harrow St
16066	Rossall St near Leinster Rd
39163	Bassett St near Parnwell 
44513	High St near Stephen 
40157	Wainoni Rd near Orrick Cres
18242	New Brighton (Oram Ave)
41002	Tuam St near Percy 
19574	Grampian St near Cavendish Rd
42336	Bridle Path Rd
20569	Bower Ave near Palmers Rd
33865	Halswell Rd near Nicholls 
10768	Sheffield Cres near Wairakei Rd
11619	Centaurus Rd near St Martins 
29370	Cranford St near Westminster 
12941	Main North Rd near Belfast 
40142	Wainoni Rd near Portsmouth St
21864	Effingham St near Monowai Cres
17367	Memorial Ave near Avice Hill Reserve
41471	Mairehau Rd near Putake Dr
39159	Bassett St near Vivian 
28017	Creyke Rd
44509	Kingsbury Ave near Regent 
15181	Ferry Rd near Manning Pl
42327	Bridle Path Rd near Ferrymead Park Dr
53061	Manchester St Super Stop
10734	Teesdale St near Deepdale 
32523	Brougham St near Wilsons Rd
33854	Larsens Rd near Glovers 
12918	Halswell Rd near Tankerville 
28491	Fitzgerald Ave near River Rd
18219	Stanmore Rd near London St
39144	Keyes Rd near Gresham Tce
17379	Memorial Ave near Spitfire Square
18226	Marine Pde near Lonsdale St
40135	Cavendish Rd near Barnes 
24908	Yaldhurst Rd near Curletts 
15199	Main North Rd
42793	Nayland St near Head 
16045	Wairakei Rd near Spalding St
42315	Masham Rd near Kintyre Dr
38291	Riccarton Rd near Shand Cres
53074	Manchester St Super Stop
12925	Papanui Rd near Rugby St
10747	Teesdale St near Tay 
32510	Opawa Rd near Hawford 
29358	Cranford St near Winton 
32990	Opawa
33849	Patterson Tce near Ridder Pl
20511	Queenspark Dr near Chadlington St
18675	Mairehau Rd near Tapiri St
